uid,label,mean_step_speed,stddev_step_speed,track_length,e2e_distance,duration
lab_0_0,0,0.17308783,0.10014095,51.9263486,40.4087717,300
lab_0_1,0,0.16504766,0.08619364,49.5142984,32.9573225,300
lab_0_2,0,0.16738813,0.09917697,50.2164377,31.6494861,300
lab_0_3,0,0.21592692,0.10979698,64.7780765,42.5249481,300
lab_0_4,0,0.09778596,0.09698448,29.3357877,1.61693568,300
lab_0_5,1,3.26391572,0.74180426,381.878139,339.804359,117
lab_0_6,1,1.95049182,0.82139467,306.227216,147.710408,157
lab_1_0,1,4.62128073,2.59111627,1386.38422,961.676141,300
lab_1_1,0,0.12528392,0.00693544,37.5851749,36.4965752,300
lab_1_2,0,0.11180397,0.05590234,2.23607943,2.23606798,20
lab_1_3,1,12.5138584,3.05953503,1126.24726,1085.7928,90
lab_1_4,0,6.27443199,0.84053747,250.977279,247.541916,40
lab_1_5,1,7.74455497,3.0349393,867.390156,255.017646,112
lab_1_6,1,13.4238823,3.32980772,1141.03,1045.19137,85
lab_1_7,1,4.0423752,1.22024185,189.991634,146.577624,47
lab_1_8,1,5.3613434,2.31969761,42.8907472,42.296572,8
lab_1_9,1,15.2651993,1.81852206,45.795598,45.7930126,3
lab_2_0,1,8.56676951,4.889565,436.905245,380.14734,51
lab_2_1,1,6.78906538,3.24519565,862.211303,688.743784,127
lab_2_2,1,14.0275603,1.88843984,659.295333,641.081898,47
lab_2_3,1,8.69696394,2.43922417,791.423719,585.702996,91
lab_2_4,0,0.07277211,0.00084181,22.0499489,21.5406592,303
lab_2_5,1,14.6973189,3.36350141,543.800799,439.710132,37
lab_2_6,1,9.911455,3.41873359,1030.79132,542.273916,104
lab_2_7,1,8.52846784,3.96553445,375.252585,77,44
lab_2_8,1,16,0,16,16,1
lab_2_9,1,11.2357493,4.02965709,1134.81068,1002.01447,101
lab_2_10,1,7.20350463,4.66479525,151.273597,84.8528137,21
lab_2_11,1,19.0023229,2.56483766,171.020906,170.320287,9
lab_2_12,1,10.5201084,1.44129071,42.0804337,40.3112887,4
lab_2_13,1,7.54963457,2.79832869,1102.24665,505.729177,146
lab_2_14,1,10.4663027,4.78259075,104.663027,103.23759,10
lab_2_15,1,11.7162197,3.47465856,1405.94636,586.436697,120
lab_2_16,1,10.3674002,2.55046897,1140.41402,747.54331,110
lab_2_17,1,10.6908507,2.71521247,224.507864,213.740497,21
lab_2_18,1,12.1579,1.80196066,559.263399,549.88817,46
lab_2_19,1,10.753186,1.97348244,419.374252,402.796475,39
lab_2_20,1,13.9219146,3.38087159,361.969781,305.851271,26
lab_3_0,1,4.9757897,3.44325404,363.232648,232.768125,73
lab_3_1,0,0.1680124,0.77106665,50.2357075,19.4164878,299
lab_3_2,0,0.04838913,0.02342333,14.46835,8.06225775,299
lab_3_3,0,0.0576933,0.0458477,17.2502961,5,299
lab_3_4,0,0.08776826,0.0220955,26.2427093,9.8488578,299
lab_3_5,0,0.1150188,0.08643334,34.3906209,6,299
lab_3_6,0,0.12822894,0.05095832,38.3404526,8.06225775,299
lab_3_7,0,0.06155521,0.0313122,18.4050086,8.06225775,299
lab_3_8,0,0.11567428,0.05151487,34.5866098,18.3575598,299
lab_3_9,0,0.07835651,0.06489654,23.4285973,19.3132079,299
lab_3_10,0,0.08956324,0.05078301,26.7794093,12.8062485,299
lab_3_11,0,0.09944283,0.00260939,29.7334066,26.4196896,299
lab_3_12,1,10.6601327,1.74018331,31.980398,31.144823,3
lab_3_13,1,7.784264,2.72562717,490.408632,444.288195,63
lab_3_14,1,8.43898841,3.35032103,286.925606,242.538657,34
lab_4_0,1,9.94881352,2.23151507,447.696609,446.653822,45
lab_4_1,0,2.03600854,0.22029643,610.802561,607.620594,300
lab_4_2,0,1.8885066,0.08327951,566.551981,565.41978,300
lab_4_3,0,1.92466293,0.11445269,577.39888,576.400832,300
lab_4_4,0,1.44173662,0.1172477,317.182055,315.716939,220
lab_4_5,0,1.74694257,0.105523,524.082771,522.804428,300
lab_4_6,0,1.74537657,0.15260564,459.034037,458.022039,263
lab_4_7,0,1.7550489,0.79809549,289.583068,289.28095,165
lab_4_8,0,1.85173982,0.06534828,66.6626334,66.5335537,36
lab_4_9,0,2.30907363,0.10225609,692.722089,691.053195,300
lab_4_10,0,2.75164727,0.0145402,41.2747091,41.2373206,15
lab_4_11,0,2.21035723,0.24010151,75.1521459,75.0765044,34
lab_4_12,1,4.38140879,7.60318979,525.769055,398.424168,170
lab_4_13,0,2.20894678,0.08801519,618.5051,617.171067,280
lab_4_14,0,1.67955743,0.10177251,178.033088,177.131235,106
lab_4_15,0,2.22371428,0.53405066,182.344571,181.373132,82
lab_4_16,0,2.68337665,0.161412,287.121301,286.541676,107
lab_4_17,0,2.06417644,0.10110134,328.204054,327.629819,159
lab_4_18,0,2.70972742,4.56975473,292.650561,291.347073,129
lab_4_19,0,2.57319471,0.20917875,226.441134,226.379287,88
lab_4_20,0,1.77296136,0.25890979,56.7347634,56.5933963,32
lab_4_21,0,2.71315275,0.10156664,84.1077352,84.0846576,31
lab_4_22,0,1.54172921,0.41706259,40.0849594,39.9906239,26
lab_4_23,0,1.99261141,0.21247907,39.8522283,39.8515691,20
lab_5_0,0,5.15431934,39.7998364,1541.14148,562.921193,299
lab_5_1,0,2.28872745,0.10708274,98.4152805,98.3073711,43
lab_5_2,0,1.834654,0.13658919,548.561546,547.82269,299
lab_5_3,0,0.13253575,0.02629247,7.42200177,7.38479363,56
lab_5_4,0,2.33229387,0.12260357,69.9688161,69.8340806,30
lab_5_5,0,1.92213278,0.13849643,130.705029,130.470479,68
lab_5_6,1,2.53599018,0.48198349,136.94347,132.994051,54
lab_5_7,0,1.62346619,0.00060908,9.74079713,9.74079694,6
lab_5_8,0,0.14153536,0.09587661,42.3190718,39.1193367,299
lab_5_9,1,2.42630301,0.52013253,99.4784234,98.1704792,41
lab_5_10,0,2.13572209,0.20333172,239.200875,238.932222,112
lab_5_11,0,2.33571126,0.27064796,366.706669,365.655759,157
lab_5_12,0,2.35882817,0.27606048,323.15946,322.520921,137
lab_5_13,0,0.17569568,0.11572093,52.5330077,37.9653265,299
lab_5_14,0,2.53053775,0.00034354,25.3053775,25.3053772,10
lab_5_15,0,2.48238903,0.22790986,742.234321,740.233688,299
lab_5_16,0,2.5557846,0.19425367,618.499872,616.924131,242
lab_5_17,0,2.30562175,0.04458225,223.64531,223.544481,97
lab_5_18,0,2.32301639,0.19806376,578.431082,575.145237,249
lab_5_19,0,1.99251585,1.20152376,595.76224,547.069681,299
lab_5_20,0,1.82029902,0.17169865,544.269407,540.439867,299
lab_5_21,0,1.62490773,0.09544244,479.347779,478.67896,295
lab_5_22,0,2.4265815,0.19331893,681.869402,679.860229,281
lab_5_23,0,1.67971486,0.0899546,478.718734,477.310121,285
lab_5_24,1,5.73897497,0.71091964,206.603099,202.712243,36
lab_5_25,1,3.03575591,0.09335401,30.3575591,30.3564132,10
lab_5_26,0,2.55846246,0.09973611,230.261621,229.770961,90
lab_5_27,0,2.00969267,0.50636847,500.413476,495.862839,249
lab_5_28,0,1.94002237,0.1113408,356.964116,356.262641,184
lab_5_29,0,2.36307603,0.10670668,581.316705,579.515199,246
lab_5_30,0,2.12683183,0.13505426,336.039429,335.257491,158
lab_5_31,0,2.15646181,0.0960597,81.9455487,81.9385861,38
lab_5_32,0,1.80522861,0.04636942,420.618267,420.362631,233
lab_5_33,0,2.32429681,0.13702301,123.187731,122.997251,53
lab_5_34,0,1.78657634,0.09677919,380.540761,379.379074,213
lab_5_35,0,1.42779761,0.22367707,282.703926,279.444467,198
lab_5_36,0,2.32209643,0.04634247,443.520418,443.231067,191
lab_5_37,0,1.77747144,0.03295824,238.181173,238.092026,134
lab_5_38,0,1.88603321,0.03961297,354.574244,354.526849,188
lab_5_39,1,1.95782819,1.0067608,297.589885,251.827912,152
lab_5_40,0,2.35510568,0.05402169,381.527119,381.29903,162
lab_5_41,0,2.06243368,0.11444457,332.051822,330.750544,161
lab_5_42,1,2.41958453,1.16885142,300.028482,171.951301,124
lab_5_43,0,1.40862436,0.22052453,145.088309,144.183318,103
lab_5_44,0,1.44888891,0.1157543,55.0577786,55.009607,38
lab_5_45,0,2.45892622,0.08799944,159.830204,159.69737,65
lab_5_46,0,2.14471798,0.12236212,111.525335,110.660196,52
lab_5_47,0,2.17739629,0.00036216,47.9027183,47.9027178,22
lab_6_0,0,0.10578233,0.0874493,31.628916,13.60404,299
lab_6_1,0,0.12517089,0.10944648,37.426096,7.41297788,299
lab_6_2,0,0.08623569,0.07027796,25.7844712,8.25524512,299
lab_6_3,0,0.088216,0.23223651,21.083625,5.83095189,299
lab_6_4,0,0.11328289,0.06776415,33.8715834,12.4192192,299
lab_6_5,0,0.03421484,0.01501148,2.12132034,2.12132034,62
lab_6_6,1,3.41694782,1.36805683,990.914867,908.57184,290
lab_6_7,0,0,0,0,0,44
lab_6_8,0,0.04899177,0.02865946,14.6485399,7.16894539,299
lab_6_9,0,0.0866624,0.05848416,25.9120591,21.4045848,299
lab_6_10,0,0.10426697,0.08348303,31.1758234,5.70760353,299
lab_6_11,0,3.78964338,0.1245951,583.60508,581.92374,154
lab_6_12,0,0.06520071,0.03307685,19.4950118,8.00960548,299
lab_6_13,0,5.69456647,0.30188254,347.368555,345.597416,61
lab_6_14,0,6.23784979,1.45190629,43.6649485,43.0909787,7
lab_6_15,1,4.81265673,2.14989159,1106.91105,959.721843,230
lab_6_16,0,0.06871926,0.02257863,20.5470574,8.44808339,299
lab_6_17,0,0.08092755,0.214878,19.8272486,12.2907486,299
lab_6_18,0,0,0,0,0,44
lab_6_19,1,2.64367274,1.18956122,208.850147,70.0486438,79
lab_6_20,0,0.18447484,0.22692035,44.273961,17.7992821,286
lab_6_21,0,0.072843,0.04049887,21.7800571,8.91260972,299
lab_6_22,1,4.71271697,5.190091,900.12894,768.454171,220
lab_6_23,0,5.97406291,0.00037122,47.7925033,47.7925031,8
lab_6_24,0,5.3524886,0.66738494,165.927146,165.702008,31
lab_6_25,0,4.44160425,0.08599748,515.226093,514.292457,116
lab_6_26,0,4.82833083,0.7488645,168.991579,168.03793,35
lab_6_27,0,4.75111856,0.10498139,66.5156598,66.1276419,14
lab_6_28,0,0.07349131,0.06245941,21.1654961,3.06464761,288
lab_6_29,1,4.24177701,2.88176495,1013.78471,608.798694,251
lab_6_30,1,6.20146098,0.10471169,229.454056,229.269553,37
lab_6_31,0,4.40883106,0.05568267,379.159471,378.860462,86
lab_6_32,0,0.10231435,0.16472443,21.6906423,3.71658297,212
lab_6_33,1,7.3346622,0.92012131,638.115611,623.963177,87
lab_6_34,0,3.55387714,0.44162676,636.144008,633.765576,179
lab_6_35,1,7.02603676,1.02789636,266.989397,250.452657,38
lab_6_36,1,7.3190613,1.01374931,351.314942,337.173627,48
lab_6_37,0,4.54938327,0.08447172,673.308724,671.480175,148
lab_6_38,1,2.45384424,1.15177597,112.876835,44.0063916,46
lab_6_39,0,6.45771919,1.55599149,477.87122,465.863177,74
lab_6_40,0,6.11358097,0.65243196,458.518573,431.042051,75
lab_6_41,0,4.42979729,0.38543862,66.4469593,66.408772,15
lab_7_0,0,4.72127546,0.00010633,23.6063773,23.6063771,5
lab_7_1,0,2.84712743,0.58115205,623.520908,622.679335,219
lab_7_2,0,5.13670668,0.32576569,986.247683,984.275605,192
lab_7_3,0,4.14110371,0.18067301,397.545956,397.388311,96
lab_7_4,0,4.58880117,0.25382192,169.785643,169.752877,37
lab_7_5,0,4.71650809,0.10838826,471.650809,471.447671,100
lab_7_6,0,4.81365207,0.53145435,163.66417,159.891519,34
lab_7_7,0,5.18226721,0.98282303,362.758704,362.65389,70
lab_7_8,0,5.20368499,0.20194491,1071.95911,1070.84383,206
lab_7_9,0,4.78516169,0.16835429,698.633606,698.068392,146
lab_7_10,0,10.293731,49.4475036,854.379677,853.164452,179
lab_7_11,0,4.44941424,0.05016384,124.583599,124.558815,28
lab_7_12,0,4.84279447,0.2221389,266.353696,265.905359,55
lab_7_13,0,3.43926452,0.4692839,196.038077,195.463442,57
lab_7_14,0,4.84613484,0.1965473,96.9226967,96.8291579,20
lab_7_15,1,5.65423066,1.19660723,248.786149,245.420411,44
lab_8_0,0,4.52690027,0.010222,280.667817,280.663145,62
lab_8_1,0,4.12514622,0.08986974,511.518131,511.333026,124
lab_8_2,0,0.15979,0.05511426,54.6481807,51.8907698,342
lab_8_3,1,11.7030332,2.24667577,339.387964,331.899443,29
lab_8_4,0,4.13743139,0.24541887,211.009001,210.923692,51
lab_8_5,0,3.52156612,0.07671655,1155.07369,1154.02356,328
lab_8_6,0,7.85647125,0.06272133,227.837666,227.836989,29
lab_8_7,0,3.12506673,0.55166823,909.394417,907.535475,291
lab_8_8,0,4.96340882,0.08182236,1191.21812,1190.59702,240
lab_8_9,0,4.86264559,0.1008624,734.259484,734.119729,151
lab_8_10,0,5.09505595,0.04658113,575.741322,575.591991,113
lab_9_0,1,4.32948346,1.82613149,878.885142,514.810439,203
lab_9_1,0,0.17678726,0.09638302,53.0361787,3.81294755,300
lab_9_2,0,0.26796236,0.12219455,80.3887076,22.6167543,300
lab_9_3,0,0.19433274,0.11803419,58.2998223,10.0992943,300
lab_9_4,0,0.22230331,0.11519997,66.6909917,8.44176818,300
lab_9_5,0,0.35919371,0.21363982,107.758114,15.0943944,300
lab_9_6,0,0.18299254,0.13571801,54.8977619,16.8389578,300
lab_9_7,0,0.39426731,0.32337951,40.6095326,7.06532129,131
lab_9_8,0,3.06254715,0.7231841,192.940471,191.450294,63
lab_10_0,0,1.00808269,0.14973794,227.826687,226.595913,226
lab_10_1,0,1.51543025,0.16371757,416.743318,415.078441,275
lab_10_2,0,1.67474743,0.11441947,500.749481,498.546629,299
lab_10_3,0,1.09455673,0.11612247,327.272464,324.636051,299
lab_10_4,0,1.11886819,0.08957064,334.54159,332.883749,299
lab_10_5,0,0.69987113,0.25133493,206.461984,199.479009,295
lab_10_6,1,1.96988443,0.73069484,360.48885,75.850408,183
lab_10_7,0,1.81352251,0.11897462,217.622701,217.125901,120
lab_10_8,0,1.67474856,0.20320743,127.28089,125.9815,76
lab_11_0,0,4.52923485,0.26842915,321.575675,321.035906,71
lab_11_1,0,5.30018544,0.23340625,763.226704,760.063347,144
lab_11_2,0,0.21235549,0.12510904,63.4942926,8.65232691,299
lab_11_3,0,0.11621597,0.0618774,34.7485742,6.21281015,299
lab_11_4,0,4.44989378,0.5784595,342.641821,340.588614,77
lab_11_5,0,3.30025342,0.44737107,471.936239,470.657171,143
lab_11_6,0,0.28259484,0.44372466,46.0629582,3.56833182,290
lab_11_7,0,0.12786549,0.08643739,38.2317828,9.12665552,299
lab_11_8,0,0.17033231,0.33923149,32.0224746,9.78286855,299
lab_11_9,0,0.07603753,0.34520313,9.80884163,7.50460052,299
lab_11_10,0,0.17622719,0.10140631,52.6919285,11.8848102,299
lab_11_11,0,0.13501951,0.17194488,33.4848394,5.39613278,299
lab_11_12,0,2.72927988,0.41135447,734.176288,728.941188,269
lab_11_13,0,4.51431002,0.53384902,415.316522,414.794277,92
lab_11_14,1,4.04997663,1.48693157,558.896775,504.349469,138
lab_11_15,0,0.1337234,0.09137072,20.1922334,8.33765267,151
lab_11_16,0,0.02278115,0.0004584,2.98433041,2.98380965,131
lab_11_17,0,0.01150451,0.00031278,3.43984746,3.43728454,299
lab_11_18,1,6.6540581,2.41400998,924.914077,821.123733,139
lab_11_19,1,4.96122553,1.89225372,223.255149,200.587404,45
lab_11_20,1,2.79193567,2.18288623,374.119379,254.999514,134
lab_11_21,1,5.88802818,0.66276035,624.130987,605.710791,106
lab_11_22,0,0.01141526,0.00290925,3.40174659,3.39908488,298
lab_11_23,0,3.9521126,0.18357073,936.650686,932.01472,237
lab_11_24,0,0.04963028,0.01476307,14.5416708,5.94243216,293
lab_11_25,1,1.88187062,1.34144567,351.909805,268.6358,187
lab_11_26,1,3.10796288,2.61481648,198.909624,174.74696,64
lab_11_27,1,3.35756524,1.35229684,523.780178,396.402546,156
lab_11_28,0,1.71712465,0.85555664,65.2507368,63.188274,38
lab_11_29,1,5.59652269,2.10469601,1007.37408,894.165682,180
lab_11_30,1,5.48219666,2.43992198,981.313202,931.986087,179
lab_11_31,1,4.01634198,0.59739491,152.620995,146.886669,38
lab_11_32,1,4.06749725,2.53102,886.7144,748.026679,218
lab_11_33,0,4.23731009,0.16175868,872.885879,868.118372,206
lab_11_34,0,4.08830331,1.52767966,588.715676,566.556274,144
lab_11_35,0,4.12058508,0.92426781,181.305744,179.989378,44
lab_11_36,1,3.85036871,1.78473819,527.500514,357.182376,137
lab_11_37,0,6.44337449,0.51145578,792.535062,788.629824,123
lab_11_38,1,6.3088941,0.86371548,611.962727,559.03754,97
lab_11_39,0,4.08595817,1.15817581,118.492787,118.202038,29
lab_11_40,1,3.62860653,1.00977328,76.2007371,59.0338697,21
lab_12_0,0,1.51510674,0.21688474,140.904927,140.55136,93
lab_12_1,0,1.21790235,0.08925059,155.891501,155.165047,128
lab_12_2,0,1.38855915,0.10396691,415.179184,414.00906,299
lab_12_3,0,1.04938129,0.13725455,313.765007,311.912175,299
lab_12_4,0,1.45719899,0.20769712,314.754982,310.79756,216
lab_12_5,0,1.50090063,0.16534662,286.67202,286.081758,191
lab_12_6,0,1.40522997,0.10310215,191.111275,188.64522,136
lab_12_7,0,2.16051356,0.1539432,585.499176,583.745079,271
lab_12_8,0,1.94946791,0.12385072,52.6356337,52.5594901,27
lab_12_9,0,0.06304997,0.37679769,12.8621938,2.19243654,299
lab_12_10,0,0,0,0,0,299
lab_12_11,0,1.09166825,0.09144575,326.408807,324.408536,299
lab_12_12,0,1.60285573,0.11230982,209.9741,209.347787,131
lab_12_13,0,1.75292642,0.19857547,187.563127,186.75782,107
lab_12_14,0,0.7164846,0.05105353,62.3341601,62.1946143,87
lab_12_15,0,1.34708047,0.07139055,234.392001,233.421779,174
lab_12_16,1,2.36183409,0.79937519,545.583675,515.273419,231
lab_12_17,0,1.44861785,0.13304356,308.555602,307.163499,213
lab_12_18,0,1.42231661,0.07515954,118.052279,117.898897,83
lab_12_19,0,2.08725957,0.3226891,39.6579319,39.4875621,19
lab_13_0,1,1.50327724,0.65536395,444.970064,329.290668,296
lab_13_1,1,2.25524959,1.70621072,674.319628,353.962973,299
lab_13_2,1,2.77101722,1.30393188,828.534149,437.683193,299
lab_13_3,1,2.09244512,1.14765728,625.641092,74.2602023,299
lab_13_4,1,2.02580617,0.88770088,62.7999912,52.3035644,31
lab_13_5,0,1.45345348,0.37909414,271.7958,271.010328,187
lab_13_6,0,1.6059601,0.56931959,443.244988,440.851872,276
lab_13_7,0,1.84663166,0.66602878,552.142867,547.050107,299
lab_13_8,0,1.65718049,0.53696405,495.496965,492.157759,299
lab_13_9,0,0.75049397,0.22882633,155.352252,153.966606,207
lab_13_10,0,1.40435724,0.45658114,419.902814,418.424457,299
lab_13_11,0,1.15776912,0.44864472,99.5681445,98.7613406,86
lab_13_12,0,2.20265139,0.71076741,526.433683,524.918973,239
lab_13_13,1,5.23827991,2.25321421,1168.13642,550.151905,223
lab_13_14,1,4.79112682,2.43118721,804.909306,332.175368,173
lab_13_15,0,1.73129023,0.82999537,242.380632,240.539563,140
lab_13_16,0,2.46514056,1.19753521,315.537992,314.580469,128
lab_13_17,1,2.3421457,1.10675595,281.057485,186.444623,120
lab_13_18,1,10.9980032,1.69884547,175.968052,137.298951,16
lab_13_19,1,3.38418807,0.40959277,169.209404,168.562568,50
lab_13_20,1,4.44548705,2.77072484,97.8007151,77.0856659,22
lab_14_0,1,4.9746231,2.93176392,323.350501,131.407115,65
lab_14_1,1,6.8088755,1.83518435,435.768032,408.158126,64
lab_14_2,1,1.83903107,0.59059138,45.9757766,1.5,25
lab_14_3,0,7.83799928,1.52342313,258.653976,253.570503,33
lab_14_4,0,5.40006341,1.34241504,442.8052,441.89473,82
lab_14_5,1,12.9042054,3.30450714,606.497653,541.002379,47
lab_14_6,1,8.94228848,4.5898259,169.903481,113.034457,19
lab_15_0,0,0.41636503,0.34535436,124.493145,6.70820393,299
lab_15_1,0,0.2484204,0.22698213,74.2776985,16.643317,299
lab_15_2,1,0.29004908,0.25582081,86.7246754,6,299
lab_15_3,1,0.32506618,0.24797159,97.1947879,4.12310563,299
lab_15_4,1,1.59436963,0.94473139,476.716519,385.892472,299
lab_15_5,1,1.02351231,0.50718148,306.03018,280.064278,299
lab_15_6,1,0.55293887,0.32211022,165.328722,102.839681,299
lab_15_7,0,0.04410844,0.05054979,13.1884248,0,299
lab_15_8,0,0.20744933,0.06773216,62.0273494,53.2353266,299
lab_15_9,0,0.0606786,0.02584895,18.1429001,6.08276253,299
lab_15_10,0,0.04186533,0.01871034,12.5177336,2.82842712,299
lab_15_11,0,0.07683419,0.11005802,22.9734218,8.94427191,299
lab_15_12,0,0.03170465,0.03860934,9.47969078,7.07106781,299
lab_15_13,0,0.09731178,0.06166831,29.0962213,9.43398113,299
lab_15_14,0,0.07640255,0.0221915,22.8443635,8.94427191,299
lab_15_15,1,0.89215349,0.46704266,263.185278,221.995495,295
lab_15_16,1,0.30116385,0.22663806,67.1595393,38.4187454,223
lab_15_17,1,1.41999453,0.5505089,85.1996716,48.4664833,60
lab_15_18,1,4.72114715,1.47278745,56.6537659,44.9444101,12
lab_16_0,1,1.36769192,1.23131022,339.187595,68.06539,248
lab_16_1,1,5.44091165,2.11710592,462.47749,361.024313,85
lab_16_2,0,2.38686889,2.21437891,716.060666,41.8723518,300
lab_16_3,1,4.90793791,2.62741483,1472.38137,824.2784,300
lab_16_4,1,4.82557243,2.19765796,1211.21868,455.704129,251
lab_16_5,0,3.19194331,0.3823192,450.064007,448.836658,141
lab_16_6,0,4.11200755,0.19135199,267.280491,267.055636,65
lab_16_7,1,3.18882788,1.55803589,634.576748,300.10574,199
lab_16_8,1,4.45122954,3.78137331,102.378279,16.8754589,23
lab_16_9,0,3.79818941,0.22170404,269.671448,269.278403,71
lab_17_0,0,1.29083253,0.21360502,387.249759,383.353085,300
lab_17_1,0,1.08672856,0.23169593,326.018569,320.505028,300
lab_17_2,0,1.11037787,0.20521107,333.113361,330.346786,300
lab_17_3,0,1.06930654,0.17907838,168.950434,165.935682,158
lab_17_4,0,0.76112289,0.20415418,228.336868,221.299868,300
lab_17_5,0,0.80972135,0.2149021,49.3930022,48.6709405,61
lab_17_6,0,1.05781294,0.37426805,43.3703304,43.058826,41
lab_17_7,0,0.76885328,0.2065273,198.364147,191.886696,258
lab_17_8,0,1.32195962,0.28232469,175.82063,167.971553,133
lab_17_9,0,0.52886084,0.21424009,124.811159,117.335136,236
lab_17_10,0,0.93049977,0.17222939,279.149931,276.094668,300
lab_17_11,0,1.13581085,0.28757749,62.4695966,62.4684921,55
lab_17_12,0,1.51039064,0.23621339,424.419771,422.623355,281
lab_17_13,0,0.17766049,0.04154266,53.2981478,52.7191201,300
lab_17_14,0,0.03659721,0.01411951,10.9791645,10.796722,300
lab_17_15,0,0.02938605,0.00044652,8.78642801,8.78515851,299
lab_17_16,0,0.69233895,0.15662492,117.005283,115.435317,169
lab_17_17,1,0.73798098,0.16681509,211.800542,198.666217,287
lab_17_18,0,1.6375641,0.18911726,463.430639,461.278929,283
lab_17_19,0,0.06749364,0.04054986,19.1006995,12.5445839,283
lab_17_20,0,1.140952,0.13328192,99.2628242,98.8011341,87
lab_17_21,0,0.358252,0.03687965,101.027065,100.736339,282
lab_17_22,0,1.11238545,0.05058859,313.692697,313.487873,282
lab_17_23,0,1.64629034,0.26111003,44.4498392,44.4062419,27
lab_17_24,0,0.74800381,0.13026291,183.260932,179.236394,245
lab_17_25,0,1.5136716,0.30060646,367.822199,360.796612,243
lab_17_26,0,1.65252779,0.14527055,345.378308,343.484215,209
lab_17_27,0,0.52887102,0.10610684,76.6862976,74.4244434,145
lab_17_28,0,1.2422458,0.09866178,175.156658,174.429238,141
lab_17_29,0,1.66430002,0.11350872,193.058802,192.767064,116
lab_17_30,0,1.3030261,0.16878601,48.2119656,48.2043178,37
lab_18_0,0,0.11222342,0.06606572,33.554803,26.3194563,299
lab_18_1,1,1.48232753,0.34356566,443.215931,438.993627,299
lab_18_2,0,0.86787068,0.14733087,84.1834562,83.9910716,97
lab_18_3,0,1.41438323,0.12857993,360.667724,358.938555,255
lab_18_4,0,1.59735979,0.11279053,300.303641,299.124123,188
lab_18_5,0,2.56511138,0.14001153,356.550481,356.036551,139
lab_18_6,1,2.38571478,0.59252745,169.38575,154.745474,71